Date,Review Text,label,cleansing,baku,stopwords,stemming
2026-05-06 04:21:31,"Aplikasi selalu mengalami lag, dan saya tidak bisa bayar menggunakan qris.",1,aplikasi selalu mengalami lag dan saya tidak bisa bayar menggunakan qris,aplikasi selalu mengalami lag dan saya tidak bisa bayar menggunakan qris,aplikasi mengalami lag tidak bisa bayar qris,aplikasi alami lag tidak bisa bayar qris
2026-05-06 04:17:02,beli tiket susah banget gara-gara bug aplikasi. Ga bisa bayar,1,beli tiket susah banget gara gara bug aplikasi ga bisa bayar,beli tiket susah sekali gara gara bug aplikasi tidak bisa bayar,beli tiket susah gara gara bug aplikasi tidak bisa bayar,beli tiket susah gara gara bug aplikasi tidak bisa bayar
2026-05-06 04:10:08,makin d update bukan bagus tp makin gk jelas tolong d perbaiki biar gk bikin repot,0,makin d update bukan bagus tp makin gk jelas tolong d perbaiki biar gk bikin repot,makin di update bukan bagus tapi makin tidak jelas tolong di perbaiki agar tidak buat repot,update bukan bagus tidak tolong perbaiki tidak repot,update bukan bagus tidak tolong baik tidak repot
2026-05-06 04:09:44,Hp saya Infinix Note 30 versi android 14 dan hp istriku Android 10 masa gk kompatibel sih??? Dev nya siapa sih? ngawur banget.,1,hp saya infinix note versi android dan hp istriku android masa gk kompatibel sih dev nya siapa sih ngawur banget,handphone saya infinix note versi android dan handphone istriku android masa tidak kompatibel sih dev nya siapa sih sembarangan sekali,handphone infinix note versi android handphone istriku android tidak kompatibel dev sembarangan,handphone infinix note versi android handphone istri android tidak kompatibel dev sembarang
2026-05-06 03:43:46,"habis update pembayaran malah susah,payahh",1,habis update pembayaran malah susah payahh,habis update pembayaran malah susah payah,habis update pembayaran susah payah,habis update bayar susah payah
2026-05-06 03:39:03,"pesen pake antrian. ketika udah masuk ,udah milih kereta, masukan penumpang,pas mau bayar, malah pilhan KAIpay nya malah ngga muncul, dan sesi habis, suruh pesan ulang. dann pesen ulang malah selalu sesi habis. gimana coba....",1,pesen pake antrian ketika udah masuk udah milih kereta masukan penumpang pas mau bayar malah pilhan kaipay nya malah ngga muncul dan sesi habis suruh pesan ulang dann pesen ulang malah selalu sesi habis gimana coba,pesan pakai antrian ketika sudah masuk sudah milih kereta masukan penumpang pas mau bayar malah pilhan kaipay nya malah tidak muncul dan sesi habis suruh pesan ulang dann pesan ulang malah selalu sesi habis gimana coba,pesan pakai antrian masuk milih kereta masukan penumpang pas bayar pilhan kaipay tidak muncul sesi habis suruh pesan ulang dann pesan ulang sesi habis gimana coba,pesan pakai antri masuk milih kereta masuk tumpang pas bayar pilhan kaipay tidak muncul sesi habis suruh pesan ulang dann pesan ulang sesi habis gimana coba
2026-05-06 03:27:49,"aplikasi makin gajelas, mau book KA lokal ga ditemukan , mau book antar kota,Sesi Habis mulu . Hire Orang yang bener napa ,bisa bisanya sistem perusahaan BUMN bobrok begini",1,aplikasi makin gajelas mau book ka lokal ga ditemukan mau book antar kota sesi habis mulu hire orang yang bener napa bisa bisanya sistem perusahaan bumn bobrok begini,aplikasi makin tidak jelas mau pesan ka lokal tidak ditemukan mau pesan antar kota sesi habis terus hire orang yang benar kenapa bisa bisanya sistem perusahaan bumn rusak begini,aplikasi tidak pesan ka lokal tidak ditemukan pesan kota sesi habis hire orang bisa bisanya sistem perusahaan bumn rusak,aplikasi tidak pesan ka lokal tidak temu pesan kota sesi habis hire orang bisa bisa sistem usaha bumn rusak
2026-05-06 03:25:52,aplikasi jelek. mau pesen tiket fitur qrisnya gakbisa. jangan persulit orang mau pesen tiket.,1,aplikasi jelek mau pesen tiket fitur qrisnya gakbisa jangan persulit orang mau pesen tiket,aplikasi jelek mau pesan tiket fitur qrisnya tidak bisa jangan persulit orang mau pesan tiket,aplikasi jelek pesan tiket fitur qrisnya tidak bisa jangan persulit orang pesan tiket,aplikasi jelek pesan tiket fitur qrisnya tidak bisa jangan sulit orang pesan tiket
2026-05-06 03:04:37,"mantab, cm akhir akhir ini sring error untuk pembayaran by OVO",1,mantab cm akhir akhir ini sring error untuk pembayaran by ovo,mantap cuma akhir akhir ini sering error untuk pembayaran by ovo,mantap error pembayaran by ovo,mantap error bayar by ovo
2026-05-06 02:59:18,Tingkatkan v terbaru..bahasa indo,0,tingkatkan v terbaru bahasa indo,tingkatkan v terbaru bahasa indonesia,tingkatkan v terbaru bahasa indonesia,tingkat v baru bahasa indonesia
2026-05-06 02:53:45,"akhir2 ini access kai kalau error lama. alasannya pemeliharaan, tapi setelah pemeliharaan habis batas waktunya, aplikasi tambah amburadul",1,akhir ini access kai kalau error lama alasannya pemeliharaan tapi setelah pemeliharaan habis batas waktunya aplikasi tambah amburadul,akhir ini access kai kalau error lama alasannya pemeliharaan tapi setelah pemeliharaan habis batas waktunya aplikasi tambah berantakan,access kai error lama alasannya pemeliharaan pemeliharaan habis batas aplikasi berantakan,access kai error lama alas pelihara pelihara habis batas aplikasi beranta
2026-05-06 02:52:26,"aplikasi nya bagus,tapi akhir² ini kayanya selalu loading yaa,dan itu lama banget.",1,aplikasi nya bagus tapi akhir ini kayanya selalu loading yaa dan itu lama banget,aplikasi nya bagus tapi akhir ini kayanya selalu loading ya dan itu lama sekali,aplikasi bagus kayanya loading ya lama,aplikasi bagus kaya loading ya lama
2026-05-06 02:49:47,"Mau ubah jadwal koneksi internet gak stabil terus, padahal jaringan sebagus ini apalagi dibawa nge game pun ini jaringan bagus banget, tapi di aplikasi kai acces susah nya minta ampun",1,mau ubah jadwal koneksi internet gak stabil terus padahal jaringan sebagus ini apalagi dibawa nge game pun ini jaringan bagus banget tapi di aplikasi kai acces susah nya minta ampun,mau ubah jadwal koneksi internet tidak stabil terus padahal jaringan sebagus ini apalagi dibawa nge game pun ini jaringan bagus sekali tapi di aplikasi kai acces susah nya minta ampun,ubah jadwal koneksi internet tidak stabil jaringan sebagus dibawa nge game jaringan bagus aplikasi kai acces susah ampun,ubah jadwal koneksi internet tidak stabil jaring bagus bawa nge game jaring bagus aplikasi kai acces susah ampun
2026-05-06 02:40:02,aplikasi sangat bagus,0,aplikasi sangat bagus,aplikasi sangat bagus,aplikasi bagus,aplikasi bagus
2026-05-06 02:35:39,gak jelas aplikasinya udah mulai rusak tah? untuk buka tiketnya aja lama banget sekarang & pembayaran juga lama banget gak secepat dulu,1,gak jelas aplikasinya udah mulai rusak tah untuk buka tiketnya aja lama banget sekarang pembayaran juga lama banget gak secepat dulu,tidak jelas aplikasinya sudah mulai rusak kah untuk buka tiketnya saja lama sekali sekarang pembayaran juga lama sekali tidak secepat dulu,tidak aplikasinya rusak kah buka tiketnya lama pembayaran lama tidak secepat,tidak aplikasi rusak kah buka tiket lama bayar lama tidak cepat
2026-05-06 02:25:23,BAGUUUUUUUUUS. MUDAH PRAKTIS AAMMAAN SEMOGA BANYAK PROMO,0,baguuuuuuuuus mudah praktis aammaan semoga banyak promo,baguuuuuuuuus mudah praktis aammaan semoga banyak promo,baguuuuuuuuus mudah praktis aammaan semoga promo,baguuuuuuuuus mudah praktis aammaan moga promo
2026-05-06 02:22:15,sering banget down tolong la bnrin lagi keadaan darurat gini sering banget errornya,1,sering banget down tolong la bnrin lagi keadaan darurat gini sering banget errornya,sering sekali error tolong la perbaiki lagi keadaan darurat gini sering sekali errornya,error tolong la perbaiki darurat gini errornya,error tolong la baik darurat gin errornya
2026-05-06 02:13:48,"Ada apa di hari ini ( Rabu 6 mei 2026 ) dengan Access By KAI ??? ga bisa di buka mau pesan tiket ??? apakah sedang perbaikan ??? jika perbaikan apakah lama ??? tolong secepatnya di perbaiki , terimakasih banyak",1,ada apa di hari ini rabu mei dengan access by kai ga bisa di buka mau pesan tiket apakah sedang perbaikan jika perbaikan apakah lama tolong secepatnya di perbaiki terimakasih banyak,ada apa di hari ini rabu mei dengan access by kai tidak bisa di buka mau pesan tiket apakah sedang perbaikan jika perbaikan apakah lama tolong secepatnya di perbaiki terimakasih banyak,rabu mei access by kai tidak bisa buka pesan tiket perbaikan perbaikan lama tolong secepatnya perbaiki terimakasih,rabu mei access by kai tidak bisa buka pesan tiket baik baik lama tolong cepat baik terimakasih
2026-05-06 02:12:34,"keseringan trouble, poin tiba2 hilang. aneh",1,keseringan trouble poin tiba hilang aneh,sering error poin tiba hilang aneh,error poin hilang aneh,error poin hilang aneh
2026-05-06 02:12:12,Lemot banget aplikasi nya selalu bermasalah gimana sih teknologi setengah² banyak buggg,1,lemot banget aplikasi nya selalu bermasalah gimana sih teknologi setengah banyak buggg,lambat sekali aplikasi nya selalu bermasalah gimana sih teknologi setengah banyak bug,lambat aplikasi bermasalah gimana teknologi bug,lambat aplikasi masalah gimana teknologi bug
2026-05-06 02:10:33,buruk sekali. pesan dari tadi gak bisa² lebih di tingkatkan pelayananya,1,buruk sekali pesan dari tadi gak bisa lebih di tingkatkan pelayananya,buruk sekali pesan dari tadi tidak bisa lebih di tingkatkan pelayananya,buruk pesan tidak bisa tingkatkan pelayananya,buruk pesan tidak bisa tingkat pelayananya
2026-05-06 02:00:53,"Kata gua mah gini da. Kalo belum becus bikin aplikasi, ga perlu apa-apa harus online. Lebih pinter lagi lah KAI. makin payah aja",0,kata gua mah gini da kalo belum becus bikin aplikasi ga perlu apa apa harus online lebih pinter lagi lah kai makin payah aja,kata gua mah gini sudah kalau belum becus buat aplikasi tidak perlu apa apa harus online lebih pinter lagi lah kai makin payah saja,gua mah gini belum becus aplikasi tidak online pinter kai payah,gua mah gin belum becus aplikasi tidak online pinter kai payah
2026-05-06 01:55:46,"online aja masih antre gk jelass gk jelass, udh mah bnyk errornya, jadwal kereta hilang2",1,online aja masih antre gk jelass gk jelass udh mah bnyk errornya jadwal kereta hilang,online saja masih antre tidak jelas tidak jelas sudah mah banyak errornya jadwal kereta hilang,online antre tidak tidak mah errornya jadwal kereta hilang,online antre tidak tidak mah errornya jadwal kereta hilang
2026-05-06 01:47:50,min kenapa jadi susah sih mau beli tiket gak bisa bisa,1,min kenapa jadi susah sih mau beli tiket gak bisa bisa,admin kenapa jadi susah sih mau beli tiket tidak bisa bisa,admin susah beli tiket tidak bisa bisa,admin susah beli tiket tidak bisa bisa
2026-05-06 01:46:49,"aplikasinya nge-bug terus cek riwayat transaksi gabisa, beli tiket gabisa, mohon diperbaiki",1,aplikasinya nge bug terus cek riwayat transaksi gabisa beli tiket gabisa mohon diperbaiki,aplikasinya nge bug terus cek riwayat transaksi tidak bisa beli tiket tidak bisa mohon diperbaiki,aplikasinya nge bug cek riwayat transaksi tidak bisa beli tiket tidak bisa mohon diperbaiki,aplikasi nge bug cek riwayat transaksi tidak bisa beli tiket tidak bisa mohon baik
2026-05-06 01:44:34,loading lama banget udah isi data tinggal klik pesan aja loading lama trus gagal👎,1,loading lama banget udah isi data tinggal klik pesan aja loading lama trus gagal,loading lama sekali sudah isi data tinggal klik pesan saja loading lama terus gagal,loading lama isi data tinggal klik pesan loading lama gagal,loading lama isi data tinggal klik pesan loading lama gagal
2026-05-06 01:43:07,Aplikasi bobrok sering gangguan,1,aplikasi bobrok sering gangguan,aplikasi rusak sering gangguan,aplikasi rusak gangguan,aplikasi rusak ganggu
2026-05-06 01:31:57,"Aplikasinya loading terus, mesen tiket susah eror Mulu, padahal wifi sm kuota normal kenceng sinyal, tolong perbaiki aplikasinya.",1,aplikasinya loading terus mesen tiket susah eror mulu padahal wifi sm kuota normal kenceng sinyal tolong perbaiki aplikasinya,aplikasinya loading terus pesan tiket susah error terus padahal wifi sama kuota normal kencang sinyal tolong perbaiki aplikasinya,aplikasinya loading pesan tiket susah error wifi kuota normal kencang sinyal tolong perbaiki aplikasinya,aplikasi loading pesan tiket susah error wifi kuota normal kencang sinyal tolong baik aplikasi
2026-05-06 01:17:44,mau di gunakan untuk beli tiket commuter line malah gabisa terus dan error,1,mau di gunakan untuk beli tiket commuter line malah gabisa terus dan error,mau di gunakan untuk beli tiket komuter line malah tidak bisa terus dan error,beli tiket komuter line tidak bisa error,beli tiket komuter line tidak bisa error
2026-05-06 01:14:56,jelek banget sering gangguan udah beli tiket malah gak ada,1,jelek banget sering gangguan udah beli tiket malah gak ada,jelek sekali sering gangguan sudah beli tiket malah tidak ada,jelek gangguan beli tiket tidak,jelek ganggu beli tiket tidak
2026-05-06 01:12:14,Loading dan balik² terus,1,loading dan balik terus,loading dan balik terus,loading,loading
2026-05-06 01:06:05,di perbaiki lagi dong tolong Skrang ko susah ya pesen tiket nya,1,di perbaiki lagi dong tolong skrang ko susah ya pesen tiket nya,di perbaiki lagi dong tolong sekarang ko susah iya pesan tiket nya,perbaiki tolong ko susah iya pesan tiket,baik tolong ko susah iya pesan tiket
2026-05-06 00:55:30,pas mau chek in trouble.. padahal setengah jam lagi berangkat.. untung ada petugas yg membantu cetak tiket manual . tolong jangan seperti ini lagi,1,pas mau chek in trouble padahal setengah jam lagi berangkat untung ada petugas yg membantu cetak tiket manual tolong jangan seperti ini lagi,pas mau chek in error padahal setengah jam lagi berangkat untung ada petugas yang membantu cetak tiket manual tolong jangan seperti ini lagi,pas chek in error jam berangkat untung petugas membantu cetak tiket manual tolong jangan,pas chek in error jam berangkat untung tugas bantu cetak tiket manual tolong jangan
2026-05-06 00:54:41,"aplikasi cacat mau psen tiket malah eror , masak aplikasi sndri kalah Ama aplikasi sebelah emang pea aplikasi nya",1,aplikasi cacat mau psen tiket malah eror masak aplikasi sndri kalah ama aplikasi sebelah emang pea aplikasi nya,aplikasi cacat mau pesan tiket malah error masa aplikasi sendiri kalah sama aplikasi sebelah emang bodoh aplikasi nya,aplikasi cacat pesan tiket error aplikasi kalah aplikasi sebelah emang bodoh aplikasi,aplikasi cacat pesan tiket error aplikasi kalah aplikasi belah emang bodoh aplikasi
2026-05-06 00:53:12,"tolong jangan eror terus dong apk nya, kalo mau pesen tiket di Deket hari gitu jadi sulit kalo apk nya eror terus..",1,tolong jangan eror terus dong apk nya kalo mau pesen tiket di deket hari gitu jadi sulit kalo apk nya eror terus,tolong jangan error terus dong aplikasi nya kalau mau pesan tiket di dekat hari gitu jadi sulit kalau aplikasi nya error terus,tolong jangan error aplikasi pesan tiket gitu sulit aplikasi error,tolong jangan error aplikasi pesan tiket gitu sulit aplikasi error
2026-05-06 00:48:44,"Bagusan aplikasi versi dulu, yang sekarang banyak update nya tapi malah tambah lemot + tambah banyak gangguan.. search kereta nya aja lama banget, mau ganti kursi ""terjadi kesalahan""",1,bagusan aplikasi versi dulu yang sekarang banyak update nya tapi malah tambah lemot tambah banyak gangguan search kereta nya aja lama banget mau ganti kursi terjadi kesalahan,lebih bagus aplikasi versi dulu yang sekarang banyak update nya tapi malah tambah lambat tambah banyak gangguan search kereta nya saja lama sekali mau ganti kursi terjadi kesalahan,bagus aplikasi versi update lambat gangguan search kereta lama ganti kursi kesalahan,bagus aplikasi versi update lambat ganggu search kereta lama ganti kursi salah
2026-05-06 00:35:11,ini habis update kenapa jadi sering error gini yh apalagi pas bagian pembayaran mesti gabisa 😭 udh ku coba berulang kali sampai tiketnya akhirnya sold cuma gegara loading pas pembayaran kan ngeselin😔 btw aku pakai wifi sinyalnya full padahal,1,ini habis update kenapa jadi sering error gini yh apalagi pas bagian pembayaran mesti gabisa udh ku coba berulang kali sampai tiketnya akhirnya sold cuma gegara loading pas pembayaran kan ngeselin btw aku pakai wifi sinyalnya full padahal,ini habis update kenapa jadi sering error gini ya apalagi pas bagian pembayaran mesti tidak bisa sudah ku coba berulang kali sampai tiketnya akhirnya habis cuma gara gara loading pas pembayaran kan menyebalkan btw aku pakai wifi sinyalnya full padahal,habis update error gini ya pas pembayaran mesti tidak bisa ku coba berulang kali tiketnya habis gara gara loading pas pembayaran menyebalkan btw pakai wifi sinyalnya full,habis update error gin ya pas bayar mesti tidak bisa ku coba ulang kali tiket habis gara gara loading pas bayar sebal btw pakai wifi sinyal full
2026-05-06 00:31:09,"ini di-update kok makin eror sih anjayy, abu abu semua ga bisa diteken pdhl wifi kenceng bgt",1,ini di update kok makin eror sih anjayy abu abu semua ga bisa diteken pdhl wifi kenceng bgt,ini di update mengapa makin error sih anjay abu abu semua tidak bisa diteken padahal wifi kencang sangat,update error anjay abu abu tidak bisa diteken wifi kencang,update error anjay abu abu tidak bisa teken wifi kencang
2026-05-06 00:21:15,kurangnya cuman aplikasi sering dalam pemeliharaan,1,kurangnya cuman aplikasi sering dalam pemeliharaan,kurangnya cuma aplikasi sering dalam pemeliharaan,kurangnya aplikasi pemeliharaan,kurang aplikasi pelihara
2026-05-06 00:10:02,"sering overload server nya, padahal pendanaan pembuatan aplikasi nya besar, tp kok gini amat server nya, tolong bisa di improve lg agar tidak sering overload terlebih ketika high session",1,sering overload server nya padahal pendanaan pembuatan aplikasi nya besar tp kok gini amat server nya tolong bisa di improve lg agar tidak sering overload terlebih ketika high session,sering overload server nya padahal pendanaan pembuatan aplikasi nya besar tapi mengapa gini amat server nya tolong bisa di improve lagi agar tidak sering overload terlebih ketika high session,overload server pendanaan pembuatan aplikasi gini server tolong bisa improve tidak overload high session,overload server dana buat aplikasi gin server tolong bisa improve tidak overload high session
2026-05-05 23:56:08,"kok semenjak di upgrade aplikasi ya agak ngelek dan suka keluar tiba"" dari aplikasi ya",1,kok semenjak di upgrade aplikasi ya agak ngelek dan suka keluar tiba dari aplikasi ya,mengapa semenjak di pembaruan aplikasi iya agak lag dan suka keluar tiba dari aplikasi iya,semenjak pembaruan aplikasi iya lag suka keluar aplikasi iya,semenjak baru aplikasi iya lag suka keluar aplikasi iya
2026-05-05 23:56:06,Harus Punya Kartu Juga kalau lagi pemeliharaan Aplikasi HedeH,1,harus punya kartu juga kalau lagi pemeliharaan aplikasi hedeh,harus punya kartu juga kalau lagi pemeliharaan aplikasi hedeh,kartu pemeliharaan aplikasi hedeh,kartu pelihara aplikasi hedeh
2026-05-05 23:47:23,"sering gangguan, sering lag, login aja gk bisa. aneh. sekelas bumn aplikasi masih sering EROR",1,sering gangguan sering lag login aja gk bisa aneh sekelas bumn aplikasi masih sering eror,sering gangguan sering lag login saja tidak bisa aneh sekelas bumn aplikasi masih sering error,gangguan lag login tidak bisa aneh sekelas bumn aplikasi error,ganggu lag login tidak bisa aneh kelas bumn aplikasi error
2026-05-05 23:45:46,saya setiap ingin membeli tiket kereta lokal selalu error pada saat ingin payment tolong dong pihak kai diperbaiki sistem nya,1,saya setiap ingin membeli tiket kereta lokal selalu error pada saat ingin payment tolong dong pihak kai diperbaiki sistem nya,saya setiap ingin membeli tiket kereta lokal selalu error pada saat ingin payment tolong dong pihak kai diperbaiki sistem nya,membeli tiket kereta lokal error payment tolong kai diperbaiki sistem,beli tiket kereta lokal error payment tolong kai baik sistem
2026-05-05 23:35:52,selalu error loading lama nunggu 5 mnit baru bisa,1,selalu error loading lama nunggu mnit baru bisa,selalu error loading lama nunggu menit baru bisa,error loading lama nunggu menit baru bisa,error loading lama nunggu menit baru bisa
2026-05-05 23:31:47,"aplikasi gajelas, suka eror sendiri",1,aplikasi gajelas suka eror sendiri,aplikasi tidak jelas suka error sendiri,aplikasi tidak suka error,aplikasi tidak suka error
2026-05-05 23:27:39,setelah update ko malah lemot banget ya jadi nya .padahal ada update an yang lalu lancar lancar aja,1,setelah update ko malah lemot banget ya jadi nya padahal ada update an yang lalu lancar lancar aja,setelah update ko malah lambat sekali iya jadi nya padahal ada update an yang lalu lancar lancar saja,update ko lambat iya update an lancar lancar,update ko lambat iya update an lancar lancar
